city,event_id,t,intervention,n_tokens,total_value,score_id,description,spearman,top10_value_capture,top10_ndcg,top10_precision
Austin,479,3,S,50,2.4386453061120004,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.1582232893157263,0.5355213841162594,0.5394362433857902,0.0
Austin,479,3,S,50,2.4386453061120004,S1_deficit_only,within-channel local/access deficit only,-0.051908763505402154,0.5989021765219269,0.5620519615593107,0.2
Austin,479,3,S,50,2.4386453061120004,S2_exposure_only,within-channel OD exposure only,0.9986554621848739,1.0,1.0,1.0
Austin,479,3,S,50,2.4386453061120004,S3_structure_only,within-channel static OD structure only,-0.23399759903961587,0.6169623631998391,0.5869601022936579,0.0
Austin,479,3,S,50,2.4386453061120004,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.9986554621848739,1.0,1.0,1.0
Austin,479,3,S,50,2.4386453061120004,S5_full_activation,within-channel activated bottleneck score with eta/cost,0.9999999999999999,1.0,1.0,1.0
Austin,479,4,C,54,2.546271462172,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.9999999999999999,0.12804791493882098,0.10302810232173402,0.0
Austin,479,4,C,54,2.546271462172,S1_deficit_only,within-channel local/access deficit only,0.9999999999999999,1.0,1.0,1.0
Austin,479,4,C,54,2.546271462172,S2_exposure_only,within-channel OD exposure only,0.9999999999999999,1.0,1.0,1.0
Austin,479,4,C,54,2.546271462172,S3_structure_only,within-channel static OD structure only,0.005984372022107871,0.5958072318480181,0.5584345728548715,0.0
Austin,479,4,C,54,2.546271462172,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.9999999999999999,1.0,1.0,1.0
Austin,479,4,C,54,2.546271462172,S5_full_activation,within-channel activated bottleneck score with eta/cost,0.9999999999999999,1.0,1.0,1.0
Austin,479,4,S,51,2.4633765110900003,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.35710407239819003,0.30506782633769275,0.26171303158181075,0.0
Austin,479,4,S,51,2.4633765110900003,S1_deficit_only,within-channel local/access deficit only,0.13773755656108597,0.6685002194616851,0.6309184941788932,0.16666666666666666
Austin,479,4,S,51,2.4633765110900003,S2_exposure_only,within-channel OD exposure only,0.998733031674208,0.9998694926269689,0.9999187483966436,0.8333333333333334
Austin,479,4,S,51,2.4633765110900003,S3_structure_only,within-channel static OD structure only,-0.15981900452488687,0.5232942081731972,0.4766728832468404,0.0
Austin,479,4,S,51,2.4633765110900003,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.998733031674208,0.9998694926269689,0.9999187483966436,0.8333333333333334
Austin,479,4,S,51,2.4633765110900003,S5_full_activation,within-channel activated bottleneck score with eta/cost,0.9999999999999999,1.0,1.0,1.0
Austin,479,5,C,45,2.245727969188,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.9999999999999999,0.1469832901998494,0.1197175820901449,0.0
Austin,479,5,C,45,2.245727969188,S1_deficit_only,within-channel local/access deficit only,0.9999999999999999,1.0,1.0,1.0
Austin,479,5,C,45,2.245727969188,S2_exposure_only,within-channel OD exposure only,0.9999999999999999,1.0,1.0,1.0
Austin,479,5,C,45,2.245727969188,S3_structure_only,within-channel static OD structure only,-0.011725955204216073,0.5942635606005421,0.5552625426754159,0.0
Austin,479,5,C,45,2.245727969188,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.9999999999999999,1.0,1.0,1.0
Austin,479,5,C,45,2.245727969188,S5_full_activation,within-channel activated bottleneck score with eta/cost,0.9999999999999999,1.0,1.0,1.0
Austin,479,5,S,55,2.5391235463619695,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.3942279942279943,0.34853974717045805,0.27245109763270503,0.0
Austin,479,5,S,55,2.5391235463619695,S1_deficit_only,within-channel local/access deficit only,0.10389610389610392,0.615706293871198,0.5980499212894271,0.16666666666666666
Austin,479,5,S,55,2.5391235463619695,S2_exposure_only,within-channel OD exposure only,0.9989177489177491,0.9998694926223397,0.9999187483937618,0.8333333333333334
