city,event_id,event_start,policy_scenario,budget_scale,delay_add_hours,baseline_objective,optimized_objective,lp_recoverable_fraction,static_replay_gain,static_replay_recoverable_fraction,static_fraction_of_base_lp_gain,static_selected_action_count,static_allocated_cost,event_peak_positive_abnormal_deficit,event_total_precip,residual_replay_gain,residual_replay_recoverable_fraction,residual_fraction_of_base_lp_gain,residual_selected_action_count,residual_allocated_cost,residual_value_proxy,residual_minus_static_fraction_of_base_lp_gain,residual_minus_static_recoverable_fraction,residual_relative_to_static_gain
San Antonio,493,2024-07-10 17:00:00,delay_4h,1,4,0.07381571949,0.06398994745,0.1331121895,0.005582392845,0.07562607103,0.5681378339,536,1.50392933,0.0160701046,0.06692917,0.007194159818,0.09746108103,0.7321724732,797,1.50392933,0.1051406932,0.1640346393,0.02183501,1.288723316
San Antonio,494,2024-07-12 13:00:00,delay_4h,1,4,0.1079999845,0.09410697633,0.1286389832,0.009069288195,0.08397490273,0.6527951377,536,2.060033306,0.01986233264,0.03018374333,0.01105414358,0.102353196,0.7956623527,718,2.060033306,0.1043069103,0.142867215,0.01837829327,1.218854594
San Antonio,495,2024-07-13 13:00:00,delay_4h,1,4,0.03348498918,0.028979354,0.1345568653,0.001936653429,0.05783646572,0.42982917,279,0.6324483959,0.009428645376,0.1443570333,0.003052291726,0.09115403053,0.6774387196,443,0.6324483959,0.103496839,0.2476095496,0.03331756481,1.57606502
San Antonio,496,2024-07-18 12:00:00,delay_4h,1,4,0.1142010555,0.09900465614,0.133067066,0.01128900618,0.0988520301,0.7428737484,536,2.210856024,0.02527631584,0.02362206,0.01263560543,0.1106435082,0.8314867949,654,2.210856024,0.110727053,0.08861304655,0.01179147811,1.119284127
San Antonio,497,2024-07-19 12:00:00,delay_4h,1,4,0.06820293445,0.05869314606,0.1394337131,0.007166791193,0.1050803935,0.7536225723,536,1.422791377,0.01603436315,0.4540684867,0.007978500551,0.1169817782,0.8389777163,701,1.422791377,0.1182988083,0.08535514401,0.0119013847,1.113259803
San Antonio,498,2024-07-21 19:00:00,delay_4h,1,4,0.05579872396,0.04842086892,0.1322226481,0.004390201051,0.07867923744,0.5950511396,496,1.11701441,0.01193186401,0.08792655667,0.005487540914,0.09834527611,0.7437854068,725,1.11701441,0.1057364805,0.1487342672,0.01966603867,1.249952075
San Antonio,499,2024-07-22 20:00:00,delay_4h,1,4,0.02160154324,0.01853883983,0.1417816949,0.001076983193,0.04985677092,0.3516446249,174,0.4079995755,0.006082525209,0.1902888167,0.00187298618,0.08670612831,0.6115467047,287,0.4079995755,0.1037724879,0.2599020798,0.03684935739,1.739104372
San Antonio,500,2024-07-23 00:00:00,delay_4h,1,4,0.1073168078,0.08958091705,0.165266663,0.008564343344,0.0798043058,0.4828820546,536,3.816707883,0.03970233648,0.01706037667,0.01351034156,0.1258921305,0.7617515122,655,3.816707883,0.1286998339,0.2788694576,0.04608782467,1.577510502
San Antonio,501,2024-07-23 03:00:00,delay_4h,1,4,0.1521064054,0.1333779371,0.1231274136,0.01730602501,0.1137757806,0.9240491393,536,3.495324897,0.03970233648,0.006561683333,0.01870092057,0.1229463054,0.9985290988,561,3.495324897,0.1229463687,0.07447995952,0.009170524754,1.08060173
San Antonio,502,2024-07-23 11:00:00,delay_4h,1,4,0.1743211916,0.1526721597,0.124190477,0.01178051364,0.06757935472,0.5441589109,536,3.295700482,0.03970233648,0.4435697933,0.01588043098,0.091098683,0.733540004,771,3.295700482,0.09798389421,0.1893810931,0.02351932828,1.348025346
