city,event_id,event_start,baseline_objective,recoverable_fraction,top_1pct_value_share,top_5pct_value_share,top_10pct_value_share,marginal_value_gini,optimizer_selected_value_share,loss_magnitude_rank,recoverable_rank,top_tail_rank,decision_criticality_score,decision_criticality_rank,event_peak_positive_abnormal_deficit,event_total_precip
Chicago,155,2019-07-21 12:00:00,0.1421726613,0.1206550068,0.09963869537,0.2944921311,0.4484823488,0.6508498966,0.2239167189,0.6476190476,0.2761904762,0.8380952381,0.02312596604,0.7047619048,0.02618788377,0.25196864
Philadelphia,642,2023-07-07 17:00:00,0.004404859881,0.1964426113,0.05820655785,0.2051625392,0.3408266,0.5581654862,0.1046276169,0.009523809524,0.9714285714,0.2380952381,0.02249555658,0.6952380952,0.0008256984963,0.01574804
Chicago,158,2019-07-29 13:00:00,0.2414585392,0.1252282371,0.09197482828,0.2776769804,0.4287458276,0.6380738963,0.2016298391,0.7523809524,0.3523809524,0.7619047619,0.02218774279,0.6857142857,0.03362315382,0.41338605
New York,117,2019-06-20 07:00:00,0.02864635885,0.1233006801,0.09466957421,0.2793167318,0.4252420023,0.6309781936,0.06703327019,0.180952381,0.2952380952,0.7714285714,0.02173085302,0.6761904762,0.00338160594,0.02362206
Austin,478,2024-07-06 17:00:00,0.1342685328,0.1077933755,0.09245657298,0.2958877975,0.460312885,0.672238608,0.2534908504,0.6285714286,0.1238095238,0.8476190476,0.02144087862,0.6666666667,0.02623511767,1.27165423
Chicago,159,2019-07-29 17:00:00,0.125480708,0.1421212074,0.08531550027,0.2549638828,0.3948715537,0.5911645159,0.2235934715,0.6,0.6476190476,0.6,0.02142130431,0.6571428571,0.01848159911,0.18110246
Chicago,156,2019-07-21 15:00:00,0.07596880961,0.1266312759,0.09012869473,0.2714825728,0.4189843859,0.6229739951,0.2012110425,0.419047619,0.380952381,0.7047619048,0.02141671499,0.6476190476,0.004635041928,0.07086618
San Antonio,496,2024-07-18 12:00:00,0.1142010555,0.133067066,0.07726577419,0.2543141362,0.4076108458,0.6288753884,0.2143304412,0.580952381,0.5047619048,0.5904761905,0.02128166884,0.6380952381,0.02527631584,0.02362206
San Antonio,508,2024-07-28 09:00:00,0.1624977201,0.1374346769,0.07603432381,0.2489715838,0.3999895696,0.6187602931,0.2161201543,0.6857142857,0.5904761905,0.5523809524,0.02117232463,0.6285714286,0.02986680471,0.56299243
Philadelphia,659,2023-07-29 19:00:00,0.046383602,0.1553082087,0.06953622496,0.2305433374,0.3737560489,0.5902944762,0.2012328376,0.2380952381,0.8380952381,0.4476190476,0.02113565472,0.619047619,0.00879234695,0.12598432
New York,115,2019-06-20 01:00:00,0.01889311455,0.1517437935,0.07553484758,0.2392476729,0.3739360123,0.5801309135,0.04952815366,0.08571428571,0.8,0.5142857143,0.02106127542,0.6095238095,0.00338160594,0.00787402
Chicago,157,2019-07-29 10:00:00,0.2829050771,0.1347009082,0.08312944855,0.2542297114,0.3987414249,0.6089772421,0.185030443,0.7904761905,0.5619047619,0.580952381,0.02085440922,0.6,0.03362315382,0.09055123
